,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1985,536548,20957,PORCELAIN HANGING BELL SMALL,1,2010-12-01 14:33:00,1.45,124720,Germany
1988,536550,85044,nan,1,2010-12-01 14:34:00,0.0,,United Kingdom
2024,536552,20950,nan,1,2010-12-01 14:34:00,0.0,,United Kingdom
2313,536576,82615,PINK MARSHMALLOW SCARF KNITTING KIT,36,2010-12-01 16:11:00,2.55,137770,United Kingdom
4582,536796,21268,VINTAGE BLUE TINSEL REEL,2,2010-12-02 15:46:00,0.42,155740,United Kingdom
4852,536811,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69,2010-12-02 16:51:00,7.65,152990,United Kingdom
5024,536837,16161M,WRAP  PINK FLOCK,25,2010-12-02 18:15:00,0.42,143950,United Kingdom
5679,536865,85036b,CHOCOLATE 1 WICK MORRIS BOX CANDLE,1,2010-12-03 11:28:00,8.47,,United Kingdom
5686,536866,72803b,OCEAN SCENT CANDLE JEWELLED DRAWER,1,2010-12-03 11:28:00,8.47,,United Kingdom
7187,536995,35951,nan,57,2010-12-03 15:29:00,0.0,,United Kingdom
7190,536998,85067,nan,6,2010-12-03 15:30:00,0.0,,United Kingdom
7648,537050,90167,BEADED LOVE HEART JEWELLERY SET,10,2010-12-05 11:10:00,0.85,148000,United Kingdom
7952,537065,84963A,PINK PAINTED KASHMIRI CHAIR,4,2010-12-05 11:57:00,42.95,125670,France
8757,537144,47579,TEA TIME BREAKFAST BASKET,1,2010-12-05 13:00:00,2.1,158800,United Kingdom
9650,537209,37461,FUNKY MONKEY MUG,1,2010-12-05 15:12:00,1.25,146060,United Kingdom
10979,537240,22765,NEWSPAPER STAND,1,2010-12-06 10:08:00,29.79,,United Kingdom
11073,537240,21486,PINK HEART DOTS HOT WATER BOTTLE,8,2010-12-06 10:08:00,4.21,,United Kingdom
11603,537254,37509,NEW ENGLAND MUG W GIFT BOX,1,2010-12-06 11:01:00,2.55,158980,United Kingdom
11841,537334,16169N,WRAP BLUE RUSSIAN FOLKART,25,2010-12-06 12:06:00,0.42,167190,United Kingdom
11878,537335,35597B,BLACKCHRISTMAS TREE 30CM,1,2010-12-06 12:15:00,1.25,150480,United Kingdom
12907,537400,84975,HEART SHAPED MIRROR,3,2010-12-06 14:36:00,1.69,171910,United Kingdom
13264,537432,35833G,damages,43,2010-12-06 16:10:00,0.0,,United Kingdom
13814,537434,84270,ASSTD DESIGN BUBBLE GUM RING,6,2010-12-06 16:57:00,0.21,,United Kingdom
15161,537638,21595,Dad's Cab Electronic Meter,1,2010-12-07 15:28:00,8.47,,United Kingdom
16103,537643,85035c,ROSE 3 WICK MORRIS BOX CANDLE,1,2010-12-07 15:34:00,8.47,,United Kingdom
16400,537654,47503J,SET/3 FLORAL GARDEN TOOLS IN BAG,2,2010-12-07 15:59:00,7.95,,United Kingdom
17621,537772,84613C,BLUE NEW BAROQUE FLOCK CANDLESTICK,1,2010-12-08 12:35:00,4.65,180430,United Kingdom
20392,538041,22145,nan,30,2010-12-09 13:09:00,0.0,,United Kingdom
20749,538071,21120,*Boombox Ipod Classic,1,2010-12-09 14:09:00,16.98,,United Kingdom
21313,538071,90128B,BLUE LEAVES AND BEADS PHONE CHARM,1,2010-12-09 14:09:00,2.51,,United Kingdom
21750,538119,21777,RECIPE BOX WITH METAL HEART,2,2010-12-09 15:34:00,7.95,131360,United Kingdom
21783,538134,20878,nan,2,2010-12-09 15:56:00,0.0,,United Kingdom
21787,538138,72814,nan,2,2010-12-09 15:57:00,0.0,,United Kingdom
21939,538148,84536b,FAIRY CAKES NOTEBOOK A7 SIZE,5,2010-12-09 16:26:00,0.81,,United Kingdom
23525,538205,20861,GOLD COSMETIC BAG PINK STAR,1,2010-12-10 11:24:00,2.1,127480,United Kingdom
23764,538241,21431,nan,21,2010-12-10 12:00:00,0.0,,United Kingdom
23977,538307,35004P,SET OF 3 PINK FLYING DUCKS,1,2010-12-10 13:27:00,5.45,146670,United Kingdom
24753,538349,35609A,PINK FEATHER CHRISTMAS DECORATION,1,2010-12-10 14:59:00,2.51,,United Kingdom
25215,538359,35958,nan,2,2010-12-10 16:29:00,0.0,,United Kingdom
25520,538371,85084,HOLLY TOP CHRISTMAS STOCKING,5,2010-12-12 11:07:00,0.85,155700,United Kingdom
27105,538524,22769,CHALKBOARD KITCHEN ORGANISER,1,2010-12-13 09:35:00,51.02,,United Kingdom
27255,538524,90126A,PINK BERTIE MOBILE PHONE CHARM,1,2010-12-13 09:35:00,3.36,,United Kingdom
27261,538524,90152B,BLUE/GREEN SHELL NECKLACE W PENDANT,1,2010-12-13 09:35:00,5.51,,United Kingdom
28449,538638,90078,PINK/WHITE GLASS DEMI CHOKER,2,2010-12-13 14:16:00,7.5,172310,United Kingdom
29282,538726,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,1,2010-12-14 11:18:00,2.95,130780,United Kingdom
29766,538826,85195,HANGING HEART BASKET,8,2010-12-14 12:58:00,2.1,123700,Cyprus
30453,538866,20910,VINTAGE PHOTO ALBUM PARIS DAYS,4,2010-12-14 14:40:00,6.35,178410,United Kingdom
30782,538880,20871,OPULENT VELVET SET/3 CANDLES,2,2010-12-14 15:52:00,4.21,,United Kingdom
30788,538880,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,2,2010-12-14 15:52:00,3.36,,United Kingdom
30897,538883,84596e,SMALL LICORICE DES PINK BOWL,2,2010-12-14 15:56:00,2.51,,United Kingdom
31136,538898,37503,TEA TIME CAKE STAND IN GIFT BOX,1,2010-12-15 09:20:00,10.75,150780,United Kingdom
31706,539009,90060B,FIRE POLISHED GLASS NECKL GOLD,1,2010-12-15 13:24:00,5.95,132210,United Kingdom
31708,539009,90060D,FIRE POLISHED GLASS NECKL BRONZE,1,2010-12-15 13:24:00,5.95,132210,United Kingdom
31713,539009,79329,PINK FLOCK GLASS CANDLEHOLDER,6,2010-12-15 13:24:00,1.65,132210,United Kingdom
31890,539019,84620,BLUE GINGHAM ROSE CUSHION COVER,2,2010-12-15 14:12:00,5.95,175510,United Kingdom
32100,539041,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,24,2010-12-15 15:34:00,0.5,154560,United Kingdom
32376,539064,22218,CAKE STAND LACE WHITE,1,2010-12-15 16:50:00,4.25,179120,United Kingdom
