image_path,label
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22384\22384_1.jpg,0
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22384\22384_3.jpg,0
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22384\22384_4.jpg,0
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22384\22384_7.jpg,0
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22727\22727_1.jpg,1
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22727\22727_2.jpg,1
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22727\22727_4.jpg,1
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22727\22727_5.jpg,1
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22727\22727_6.jpg,1
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22112\22112_2.jpg,2
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22112\22112_5.jpg,2
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22112\22112_6.jpg,2
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22112\22112_7.jpg,2
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22112\22112_9.jpg,2
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_2.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_3.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_5.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_7.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_8.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\23298\23298_9.jpg,3
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\20726\20726_1.jpg,4
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\20726\20726_2.jpg,4
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\20726\20726_4.jpg,4
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\20726\20726_5.jpg,4
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\20726\20726_7.jpg,4
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21034\21034_1.jpg,5
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21034\21034_2.jpg,5
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21034\21034_3.jpg,5
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21034\21034_4.jpg,5
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21034\21034_5.jpg,5
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21931\21931_1.jpg,6
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21931\21931_2.jpg,6
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21931\21931_3.jpg,6
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21931\21931_4.jpg,6
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\21931\21931_5.jpg,6
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_1.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_10.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_2.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_3.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_5.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_6.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22139\22139_9.jpg,7
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22077\22077_1.jpg,8
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22077\22077_2.jpg,8
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22077\22077_3.jpg,8
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22077\22077_5.jpg,8
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22077\22077_6.jpg,8
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_1.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_10.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_5.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_6.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_7.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_8.jpg,9
C:\Users\don\dev\ds-test\ds_task_1ab\static\images\22423\22423_9.jpg,9
